Volatility 3 Framework 2.7.0

PID	Process	Args

4	System	Required memory at 0x20 is not valid (process exited?)
264	smss.exe	\SystemRoot\System32\smss.exe
336	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
384	wininit.exe	wininit.exe
396	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
436	winlogon.exe	winlogon.exe
480	services.exe	C:\Windows\system32\services.exe
496	lsass.exe	C:\Windows\system32\lsass.exe
504	lsm.exe	C:\Windows\system32\lsm.exe
608	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch
668	VBoxService.ex	C:\Windows\System32\VBoxService.exe
724	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS
780	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
896	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
948	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs
1008	audiodg.exe	C:\Windows\system32\AUDIODG.EXE 0x2ac
400	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService
1052	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService
1176	spoolsv.exe	C:\Windows\System32\spoolsv.exe
1212	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork
1308	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
1812	taskhost.exe	"taskhost.exe"
1868	dwm.exe	"C:\Windows\system32\Dwm.exe"
1876	taskeng.exe	taskeng.exe {54DBC692-AE6C-4620-B58A-A05704950172}
1944	explorer.exe	C:\Windows\Explorer.EXE
1292	GoogleCrashHan	"C:\Program Files (x86)\Google\Update\1.3.34.11\GoogleCrashHandler.exe"
924	GoogleCrashHan	"C:\Program Files (x86)\Google\Update\1.3.34.11\GoogleCrashHandler64.exe"
1108	VBoxTray.exe	"C:\Windows\System32\VBoxTray.exe" 
880	cmd.exe	"C:\Windows\system32\cmd.exe" 
916	conhost.exe	\??\C:\Windows\system32\conhost.exe
856	SearchIndexer.	C:\Windows\system32\SearchIndexer.exe /Embedding
2124	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" 
2132	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=crashpad-handler "--user-data-dir=C:\Users\Jaffa\AppData\Local\Google\Chrome\User Data" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\Jaffa\AppData\Local\Google\Chrome\User Data\Crashpad" "--metrics-dir=C:\Users\Jaffa\AppData\Local\Google\Chrome\User Data" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=76.0.3809.100 --initial-client-data=0x38,0x3c,0x40,0x34,0x44,0x7fef693ef08,0x7fef693ef18,0x7fef693ef28
2168	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=watcher --main-thread-id=2128 --on-initialized-event-handle=12 --parent-handle=164 /prefetch:6
2292	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
2340	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=utility --field-trial-handle=912,6904440883533218926,14009848578096020689,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=7087325372642059998 --mojo-platform-channel-handle=1404 /prefetch:8
2440	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=912,6904440883533218926,14009848578096020689,131072 --lang=en-US --instant-process --enable-auto-reload --device-scale-factor=1 --num-raster-threads=1 --service-request-channel-token=30920957510107878 --renderer-client-id=6 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=1956 /prefetch:1
2452	chrome.exe	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=912,6904440883533218926,14009848578096020689,131072 --lang=en-US --enable-auto-reload --device-scale-factor=1 --num-raster-threads=1 --service-request-channel-token=8732891429699623721 --renderer-client-id=7 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=2148 /prefetch:1
2800	WmiApSrv.exe	C:\Windows\system32\wbem\WmiApSrv.exe
2896	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
